latency,status,server,success,algorithm,workload,run_id
1019.0045833587646,200,Server_C,1,round_robin,constant,1
493.7310218811035,200,Server_A,1,round_robin,constant,1
504.57048416137695,200,Server_B,1,round_robin,constant,1
520.5850601196289,200,Server_C,1,round_robin,constant,1
510.0436210632324,200,Server_A,1,round_robin,constant,1
904.6218395233154,200,Server_B,1,round_robin,constant,1
1000.0011920928955,200,Server_C,1,round_robin,constant,1
462.07165718078613,200,Server_A,1,round_robin,constant,1
494.7819709777832,200,Server_B,1,round_robin,constant,1
525.604248046875,200,Server_C,1,round_robin,constant,1
509.7494125366211,200,Server_A,1,round_robin,constant,1
490.00048637390137,200,Server_B,1,round_robin,constant,1
1048.2089519500732,200,Server_C,1,round_robin,constant,1
2522.381067276001,200,Server_A,1,round_robin,constant,1
1536.1599922180176,200,Server_B,1,round_robin,constant,1
521.8765735626221,200,Server_C,1,round_robin,constant,1
1212.6860618591309,200,Server_A,1,round_robin,constant,1
1519.674301147461,200,Server_B,1,round_robin,constant,1
3018.2533264160156,200,Server_C,1,round_robin,constant,1
499.0880489349365,200,Server_A,1,round_robin,constant,1
509.5255374908447,200,Server_B,1,round_robin,constant,1
545.1281070709229,200,Server_A,1,round_robin,constant,1
496.7508316040039,200,Server_C,1,round_robin,constant,1
528.1260013580322,200,Server_B,1,round_robin,constant,1
500.7507801055908,200,Server_C,1,round_robin,constant,1
532.4838161468506,200,Server_A,1,round_robin,constant,1
1540.6644344329834,200,Server_B,1,round_robin,constant,1
512.545108795166,200,Server_C,1,round_robin,constant,1
944.0619945526123,200,Server_A,1,round_robin,constant,1
530.085563659668,200,Server_B,1,round_robin,constant,1
498.6414909362793,200,Server_C,1,round_robin,constant,1
494.5075511932373,200,Server_A,1,round_robin,constant,1
511.77263259887695,200,Server_B,1,round_robin,constant,1
495.38707733154297,200,Server_C,1,round_robin,constant,1
539.9379730224609,200,Server_A,1,round_robin,constant,1
523.1621265411377,200,Server_C,1,round_robin,constant,1
494.56143379211426,200,Server_B,1,round_robin,constant,1
2530.5376052856445,200,Server_A,1,round_robin,constant,1
823.9665031433105,200,Server_B,1,round_robin,constant,1
510.5583667755127,200,Server_C,1,round_robin,constant,1
523.557186126709,200,Server_A,1,round_robin,constant,1
896.2929248809814,200,Server_B,1,round_robin,constant,1
493.41654777526855,200,Server_C,1,round_robin,constant,1
990.0550842285156,200,Server_A,1,round_robin,constant,1
937.6001358032227,200,Server_B,1,round_robin,constant,1
507.78937339782715,200,Server_C,1,round_robin,constant,1
1208.660364151001,200,Server_A,1,round_robin,constant,1
523.8184928894043,200,Server_B,1,round_robin,constant,1
1046.3714599609375,200,Server_C,1,round_robin,constant,1
556.6537380218506,200,Server_A,1,round_robin,constant,1
493.90721321105957,200,Server_B,1,round_robin,constant,1
504.9703121185303,200,Server_C,1,round_robin,constant,1
585.3137969970703,200,Server_A,1,round_robin,constant,1
525.179386138916,200,Server_B,1,round_robin,constant,1
521.132230758667,200,Server_C,1,round_robin,constant,1
493.26324462890625,200,Server_B,1,round_robin,constant,1
544.105052947998,200,Server_A,1,round_robin,constant,1
1027.111291885376,200,Server_C,1,round_robin,constant,1
2533.5168838500977,200,Server_A,1,round_robin,constant,1
433.7587356567383,200,Server_B,1,round_robin,constant,1
559.5402717590332,200,Server_C,1,round_robin,constant,1
540.1949882507324,200,Server_A,1,round_robin,constant,1
1020.9794044494629,200,Server_C,1,round_robin,constant,2
380.9330463409424,200,Server_A,1,round_robin,constant,2
360.8593940734863,200,Server_B,1,round_robin,constant,2
2514.8098468780518,200,Server_A,1,round_robin,constant,2
442.13104248046875,200,Server_B,1,round_robin,constant,2
510.8494758605957,200,Server_A,1,round_robin,constant,2
432.0244789123535,200,Server_C,1,round_robin,constant,2
479.2063236236572,200,Server_B,1,round_robin,constant,2
